Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
Jon de Castro		Portugal	April  7, 2000 (age 23)	Active	2017 – Present			support	00 Nation			$133,295	Global Offensive
Gina Kleinen		Italy		Inactive	2014 – 2019			AWPer				$1,619	Global Offensive
Nils Gruhne		Germany	November 28, 1998 (age 24)	Active	2016 – Present			Rifler	OG		kajtoJACKSON	$340,937	Global Offensive
Dominik Aberle		Germany	March  5, 1987 (age 36)	Active	2012 – 2018, 2019	2018 2019 – Present		Coach			dominikkk	$2,098	Global Offensive
André Kempa		Germany	August 25, 1990 (age 33)	Active	2010 – Present			Rifler	DIVIZON			$18,663	Global Offensive
Stefan Peynov		Bulgaria	September 24, 1993 (age 30)	Active	2017 – Present			AWPer				$9,602	Global Offensive
Марко Ђорђевић	Marko Đorđević	Serbia	July 19, 1996 (age 27)	Active	2015 – Present			Rifler				$83,903	Global Offensive
Karim Moussa		Germany	September 26, 2002 (age 21)	Active	2018 – Present			lurker	BIG			$122,890	Global Offensive
Daniel Michel		Germany	May  1, 1999 (age 24)	Active	2016 – Present			Rifler				$10,721	Global Offensive
Kevin Amend		Germany	July 23, 1993 (age 30)	Active	2011 – 2019, 2019 – 2022, 	2019 2023 – Present		Coach	Bad News Eagles			$129,258	Global Offensive
Can Ali		Iraq	March 16, 2005 (age 18)	Active	2020 - Present			Rifler	Sangal Esports			$19,395	Global Offensive
Oliver Maximilian Heck		Germany	May 23, 1990 (age 33)	Active	2011 – Present	2020 2022 – Present					Minato	$60,035	Global Offensive
Christian Preuß		Germany	January 29, 2000 (age 23)	Active	2018 – Present				SNOGARD Dragons			$7,536	Global Offensive
Patrick Franz		Taiwan	July 25, 2000 (age 23)	Active	2018 – Present			In-game leader				$5,898	Global Offensive
Jan Patocka		Germany		Active	2013 – Present			AWPer				$14,328	Global Offensive
Markus Reitenbach		Germany	August 22, 1995 (age 28)	Active	2013 – Present							$17,904	Global Offensive
Arthur Derksen		Germany	November 10, 1998 (age 24)	Active	2017 – Present			AWPer				$7,131	Global Offensive
Sabit-Mirza Çoktaşar		Turkey	November  4, 1996 (age 26)	Active	2016 – Present							$75,562	Global Offensive
Marvin Labenz		Germany	May 14, 2000 (age 23)	Active				Rifler				$5,583	Global Offensive
Yannik Baumhöfner		Germany	January  2, 1995 (age 28)	Active	2013 – 2020, 2022	2020 – 2021		Coach			nEv	$1,589	Global Offensive
Franz Otto Geiger		Germany	November 27, 1994 (age 28)	Active	2012 – 2018				Team LEISURE			$6,874	Global Offensive
Patrick Jan Zaremba		Poland	July 19, 1996 (age 27)	Active	2016 – Present			lurker	The Prodigies		PATriCK, .P4TriCK	$19,480	Global Offensive
Simon Schumacher		Germany	February  6, 1992 (age 31)	Inactive	2014 – 2018							$434	Global Offensive
Max Hangebruch		Germany	December  7, 1998 (age 24)	Active	2017 – Present			AWPer	Sangal Esports			$19,612	Global Offensive
Patrick Merken		Germany		Active	2017 – Present			entry fragger				$22,437	Global Offensive
Paul von Erdmannsdorff		France	May 10, 1999 (age 24)	Active	2016 – Present			entry fragger	ALTERNATE aTTaX			$20,441	Global Offensive
Thomas Becker		Germany	November 28, 1999 (age 23)	Active	2018 – Present			entry fragger				$9,960	Global Offensive
Luca Voigt		Germany	November 21, 2000 (age 22)	Active	2020 – Present			Rifler	BIG Academy			$8,488	Global Offensive
Christopher Glaser		Germany	March 10, 1999 (age 24)	Active	2018 – Present			Rifler			PREET	$6,602	Global Offensive
David Hesse		Germany	March 11, 2003 (age 20)	Active	2019 – Present			entry fragger	BIG			$53,447	Global Offensive
Timo Walter		Germany	September 10, 1997 (age 26)	Active	2016 – Present			entry fragger				$6,376	Global Offensive
Robin Stephan		Germany	September  3, 1992 (age 31)	Active	2012 – Present							$15,140	Global Offensive
Marian Korpaniuk		Germany	August 10, 1995 (age 28)	Active	2019 – Present			Rifler	EPIC DUDES		rapi, rapii	$9,240	Global Offensive
Christoph Hinrichs		Germany	February 24, 1999 (age 24)	Active	2016 – Present							$24,616	Global Offensive
Elias Stein		Germany	March 18, 2002 (age 21)	Active	2017 – Present			In-game leader	BIG			$66,947	Global Offensive
Lukas Baumann		Germany	June 30, 1991 (age 32)	Active		2023 – Present	2019 – Present		BIG				Global Offensive
Joscha Ziegler		Germany	December  9, 1996 (age 26)	Active		2019 − Present		Coach	CW Lions				Global Offensive
Robin Röpke		Germany	July 10, 1995 (age 28)	Active	2012 – 2023	2015 2020	2012 – Present	Analyst	Heroic			$47,951	Counter-Strike 2
Tom Hagedorn		Germany	July 22, 2002 (age 21)	Active				lurker	BIG Academy			$36,328	Global Offensive
Fritz Dietrich		Germany	November 25, 1998 (age 24)	Active	2017 – Present			AWPer	ALTERNATE aTTaX		slaxz	$83,939	Global Offensive
Timo Richter		Germany	September 13, 1995 (age 28)	Active	2013 – Present			support	ALTERNATE aTTaX			$198,113	Global Offensive
Stefan Seier		Germany	November 11, 1992 (age 30)	Active	2005 – Present			Rifler				$75,505	Global Offensive
Jan Müller		Germany	March 13, 1995 (age 28)	Active		2021 – Present	2015 – 2022	Coach	G2 Esports		Swanii		Global Offensive
Andreas Trapp		Germany		Active	2015 – Present						synx, synx-	$4,605	Global Offensive
Florian Rische		Germany	April 19, 1996 (age 27)	Active	2012 – Present			AWPer	00 Nation			$326,329	Global Offensive
Johannes Wodarz		Germany	April  5, 1995 (age 28)	Active	2012 – Present				BIG			$433,307	Global Offensive
Tahsin Sarikaya		Turkey	September 24, 1990 (age 33)	Active	2013 – Present			Rifler			AbuWilly	$32,888	Global Offensive
Tizian Feldbusch		Germany	June 15, 1996 (age 27)	Active	2012 – Present			In-game leader	Entropiq			$331,155	Global Offensive
Tobias Herberhold		Germany	May  7, 1984 (age 39)	Inactive	2012 – 2016	2016 – 2020		Coach			ToBi	$472	Global Offensive
Tugay Keskin		Germany	August  2, 1991 (age 32)	Active	2006 – 2017	2020 – Present		Coach	BIG Academy			$15,226	Global Offensive
Daniel Stoppel		Germany	May 17, 2000 (age 23)	Inactive				Rifler			VENIQ	$2,290	Global Offensive
Sebastian Hoch		Germany	November  6, 1995 (age 27)	Active	2013 – 2022	2022 – Present		Coach	ALTERNATE aTTaX			$16,092	Global Offensive
Μιχάλης Ναπολόνι	Michalis Napoloni	Albania	November 10, 1998 (age 24)	Active	2019 – Present			Rifler	ALTERNATE aTTaX			$17,098	Global Offensive
Áron Homoki		Hungary	February 24, 1999 (age 24)	Active	2015 – 2021, 2022 – Present				RUBIK		AronhMk, aroN	$14,248	Global Offensive
Patrik Boda		Hungary	December  1, 1997 (age 25)	Active	2014 – Present			Rifler				$17,030	Global Offensive
András Fercsák		Hungary	July 12, 2000 (age 23)	Active	2013 – Present				RUBIK		coolioo	$16,433	Global Offensive
Bence Böröcz		Hungary	February 15, 1995 (age 28)	Active	2014 – 2019, 2022 – Present							$114,794	Global Offensive
Erik Koncsok		Hungary	March 12, 1999 (age 24)	Active	2016 – Present			In-game leader	Békéscsabai E-Sport Egyesület		ER9K	$3,929	Global Offensive
Viktor Tamás Bea		Hungary	August 21, 1995 (age 28)	Active	2013 – 2020	2020 – 2023	2023 – Present	Analyst	Natus Vincere		flash, FLASH	$16,411	Global Offensive
Fodor Levente		Hungary	October 25, 2000 (age 22)	Active	2016 – Present				RUBIK			$29,378	Global Offensive
Gábor Málovics		Hungary	May  7, 1990 (age 33)	Active	2011 – 2020	2020 – 2021		Coach	Hungarian Esport TV		Mel Gabson, gabessonIlMostro, postas gabesz, BOT eugene, Jimbo	$9,825	Global Offensive
Zsolt Jurus		Hungary	October  1, 1999 (age 24)	Active	2017 – 2021, 2021 – Present			Rifler	RUBIK			$9,421	Global Offensive
Ádám Domoszlay		Hungary	October 26, 1999 (age 23)	Active	2015 – Present			AWPer			koloRRR, KoloRRR	$21,018	Global Offensive
Kornél Szedlár		Serbia	July 12, 1998 (age 25)	Active	2016 – Present				Rare Atom			$19,537	Global Offensive
Norbert Török		Hungary	July 18, 2005 (age 18)	Active	2019 – Present			Rifler	RUBIK		_msN	$8,427	Global Offensive
Henrich Hevesi		Romania	August 31, 2004 (age 19)	Active	2020 – Present			AWPer	Endpoint		Sl3nD, sl3ndd	$9,898	Global Offensive
Lajos Szloboda		Hungary	June 10, 1992 (age 31)	Active		2023 – Present		Coach	RUBIK				Global Offensive
Ádám Torzsás		Hungary	May 17, 2002 (age 21)	VAC Banned	2016 – Present			AWPer	MOUZ		torzsii	$154,204	Global Offensive
Alfreð Leó Svansson		Iceland	September 10, 1993 (age 30)	Active	2016 – Present			AWPer	Þór			$2,599	Global Offensive
Bjarni Þór Guðmundsson		Iceland	January 15, 2001 (age 22)	Active	2017 – Present			In-game leader	Atlantic Seafood			$3,555	Global Offensive
Kristinn Andri Jóhannesson		Iceland	May 10, 1994 (age 29)	Active	2014 – Present			Rifler	TEN5ION			$1,488	Global Offensive
Stefán Dagbjartsson		Iceland	May 14, 1993 (age 30)	Active	2014 – Present	2021 – 2022		Rifler	Þór			$3,370	Global Offensive
Brynjar Jóhannsson		Iceland		Active	2006 – Present							$1,634	Global Offensive
Edvard Heimisson		Iceland	April  6, 2000 (age 23)	Active	2016 – Present			Rifler	DUSTY			$4,029	Global Offensive
Styrmir Tómasson		Iceland	February 27, 1991 (age 32)	Active	2014 – Present			Rifler	LAVA Esports			$1,220	Global Offensive
Kristján Finnsson		Iceland	April 12, 1993 (age 30)	Active	2010 – 2022	2022 – Present		Coach				$1,633	Global Offensive
Árni Bent Þráinsson		Iceland	December 13, 2000 (age 22)	Active	2020 – Present			Rifler	Atlantic Seafood			$3,028	Global Offensive
Ólafur Barði Gudmundsson		Iceland	June 30, 1992 (age 31)	Active	2015 – Present			AWPer	Ármann			$1,844	Global Offensive
Pétur Örn Helgason		Iceland	August 10, 1993 (age 30)	Active	2015 – Present			Rifler	Þór		peterrrfish	$2,076	Global Offensive
Birgir Ágústsson		Iceland		Active	2006 – Present			AWPer				$1,967	Global Offensive
Þorsteinn Friðfinnsson		Iceland	July 15, 2000 (age 23)	Active	2016 – Present			AWPer	DUSTY		th0rsteinnf	$3,476	Global Offensive
Tom Clarke		Ireland	May 31, 1997 (age 26)	Active	2018 – Present				Verdant			$12,196	Global Offensive
Ciaran King		Ireland	December 26, 1996 (age 26)	Active	2018 – 2019	2019 – Present		Coach	Verdant			$209	Global Offensive
Matas Strumila		Ireland		Active	2019 – Present			Rifler	Verdant		Extincts	$11,085	Global Offensive
Riccardo D'Urso		Italy		Active	2010 – Present			Rifler	HSL Esports			$3,284	Global Offensive
Arbnor Sadiku		Kosovo	April  8, 1997 (age 26)	Active	2019 – Present			Rifler				$5,172	Global Offensive
Bledar Dula		Kosovo	December 11, 2001 (age 21)	Active	2020 – Present			AWPer				$6,895	Global Offensive
Serdar Mahmuti		Kosovo	August  3, 1998 (age 25)	Active	2016 – Present			Rifler	KS-			$6,866	Global Offensive
Arlind Sadiku		Kosovo	September  3, 1998 (age 25)	Active	2019 – Present			Rifler	KS-			$10,409	Global Offensive
Arbnor Pacolli		Kosovo	June  7, 1999 (age 24)	Active				In-game leader	AGO esports			$7,101	Global Offensive
Atif Mustafa		Hungary	November 29, 1996 (age 26)	Active	2016 – Present				KS-			$15,194	Global Offensive
Kujtim Durmishi		Albania	February 26, 1999 (age 24)	Active	2019 – Present			support				$8,706	Global Offensive
Genc Kolgeci		Albania	May  3, 1999 (age 24)	Active				AWPer	Bad News Eagles		gxx	$69,603	Global Offensive
Butrint Gashi		Kosovo	September 18, 2000 (age 23)	Active	2020 – Present			Rifler			HYPERI, HYPER1	$4,471	Global Offensive
Flatron Halimi		Albania	March 18, 1997 (age 26)	Active	2018 – Present			entry fragger	Bad News Eagles			$78,672	Global Offensive
Sener Mahmuti		Albania	January 19, 1997 (age 26)	Active				support	Bad News Eagles			$60,545	Global Offensive
Dionis Budeci		Albania	July 24, 1995 (age 28)	Active	2018 – Present				Bad News Eagles			$68,306	Global Offensive
Qëndrim Hajrizi		Kosovo	September 11, 1999 (age 24)	Active	2020 – Present			AWPer	KS-		v1wi	$6,343	Global Offensive
Helvijs Saukants		Latvia	February 14, 2001 (age 22)	Active	2017 – Present			AWPer	FaZe Clan	Latvian Laser		$832,615	Global Offensive
Einārs Zarāns		Latvia	October  9, 2000 (age 23)	Active	2019 – Present			Rifler	GenOne		EiZA, EiZAA	$7,498	Global Offensive
Vadim Karetin		Latvia	September  8, 1996 (age 27)	Active	2015 – 2021, 2022 – Present			lurker			Flar1ch	$25,512	Global Offensive
Reinis Grīnbergs		Latvia	May  2, 1997 (age 26)	Active	2015 – 2023	2023 – Present		Coach	Nigma Galaxy Female			$11,265	Global Offensive
Miks Siliņš		Latvia	July  3, 1998 (age 25)	VAC Banned	2014 – 2017, 2020 – 2021, 	2020 2022 – Present			Guild Esports			$1,336	Global Offensive
Kristers Dārznieks		Latvia	May 18, 2000 (age 23)	Active	2017 – Present			In-game leader	The Prodigies			$11,631	Global Offensive
Kristaps Bricis		Latvia	July 29, 1998 (age 25)	Active	2015 – Present			Rifler	The Prodigies			$11,348	Global Offensive
Aivis Krastiņš		Latvia	January 23, 1999 (age 24)	Active	2014 – Present			entry fragger				$1,475	Global Offensive
Roberts Čigauskis		Latvia	September 16, 2001 (age 22)	Active	2016 – Present			Rifler				$16,121	Global Offensive
Roberts Tipsis		Latvia	January 19, 2003 (age 20)	Active	2018 – Present			AWPer	The Prodigies			$10,368	Global Offensive
Mareks Gaļinskis		Latvia	October  4, 1999 (age 24)	Active	2017 – Present				Team Liquid		yr, YEK1NDAR	$429,611	Global Offensive
Aurimas Pipiras		Lithuania	August 12, 2003 (age 20)	Active	2018 – Present			lurker	Into The Breach			$107,091	Global Offensive
Rokas Milasauskas		Lithuania	April 12, 2001 (age 22)	Active	2015 – Present			entry fragger				$91,752	Global Offensive
Titas Milasauskas		Lithuania		Inactive	2016 – 2018							$4,487	Global Offensive
Justinas Lekavicius		Lithuania	September 29, 1999 (age 24)	Active	2018 – Present			lurker	Natus Vincere		jL-	$103,223	Global Offensive
Nikolaj Rysakov		Lithuania	May 20, 1994 (age 29)	Inactive	2015 – 2021							$39,219	Global Offensive
Aurimas Kvakšys		Lithuania	November 18, 1995 (age 27)	Active	2014 – Present							$35,035	Global Offensive
Lukas Baciliunas		Lithuania	January 19, 1995 (age 28)	Active	2014 – Present							$33,775	Global Offensive
Armandas Kneita		Lithuania		Active	2017 – Present			Rifler				$15,395	Global Offensive
Eimantas Lazickas		Lithuania	March 27, 1997 (age 26)	Active	2016 – Present						L421CK45	$37,358	Global Offensive
Gytis Glušauskas		Lithuania	July 25, 2004 (age 19)	Active	2020 – Present			Rifler				$4,557	Global Offensive
Max Kugener		Ukraine	July 30, 2003 (age 20)	Active	2018 – Present			Rifler	Entropiq		mAriX, MRX	$13,886	Global Offensive
Kyle Gatt		Malta	November 15, 1999 (age 23)	Active	2018 – Present			AWPer				$4,736	Global Offensive
Андреј Шарац	Andrej Šarac	Montenegro	July 30, 2004 (age 19)	Active	2020 – Present			Rifler	Zero Tenacity			$6,623	Global Offensive
Никола Мијомановић	Nikola Mijomanović	Montenegro	September 15, 1989 (age 34)	Active	2016 – Present			Rifler			Loba, DaddyLoba	$101,660	Global Offensive
Павле Бошковић	Pavle Bošković	Montenegro	November 12, 1998 (age 24)	Active	2016 – Present			entry fragger	ENCE		madennn	$275,666	Global Offensive
Bernardus Stornebrink		Netherlands	March  7, 1996 (age 27)	Active	2016 – Present			In-game leader			Bernardus	$13,750	Global Offensive
Steven Groeneveld		Netherlands	February  9, 1999 (age 24)	Inactive	2017 – 2021			Rifler				$7,074	Global Offensive
Christiaan Willem George de Jong		Netherlands	May 25, 1990 (age 33)	Inactive	2011 – 2021							$610,834	Global Offensive
Joey Steusel		Netherlands	February  4, 1997 (age 26)	Active	2013 – Present			AWPer	Into The Breach			$98,176	Global Offensive
Shuaib Ahmad		Netherlands	September  4, 2000 (age 23)	Active	2017 – Present						D0cC^	$9,820	Global Offensive
Dion Derksen		Netherlands	January 10, 1996 (age 27)	Active	2016 – Present			Rifler	OG			$106,122	Global Offensive
Gido Brouwer		Netherlands	February  7, 1995 (age 28)	Active	2013 – Present						g1do, CYTARO	$8,439	Global Offensive
Jamie Lammers		Netherlands		Active	2009 – Present							$4,883	Global Offensive
Jacob Hemming		Germany	July 10, 2000 (age 23)	Active	2019 – Present							$5,843	Global Offensive
Thijs Izaks		Netherlands		Active	2016 – Present			lurker				$12,838	Global Offensive
Vincent Brouwer		Netherlands	December 15, 1997 (age 25)	Active	2013 – Present							$8,666	Global Offensive
Ahmet Baftijari		Albania	July  8, 2000 (age 23)	Active	2020 – Present			In-game leader	Gucci Gaming Academy		2high	$4,435	Global Offensive
Јане Апостолоски	Jane Apostoloski	North Macedonia	June 13, 2001 (age 22)	Active	2019 – Present			AWPer				$31,407	Global Offensive
Aleksandar Kjulukoski		North Macedonia	November  9, 2000 (age 22)	Active	2019 – Present			Rifler	Apeks			$50,313	Global Offensive
Daniel Gligorov		North Macedonia	October 18, 1999 (age 23)	Active	2019 – Present			Rifler				$28,381	Global Offensive
Дамјан Стоилковски	Damjan Stoilkovski	North Macedonia	May 26, 2000 (age 23)	Active	2018 – Present				Apeks		Kyxsan	$68,085	Global Offensive
Андреј Манчески	Andrej Mancheski	North Macedonia	October 18, 1998 (age 24)	Active	2019 – Present			Rifler				$11,020	Global Offensive
Анел Чековиќ	Anel Chekovikj	North Macedonia	October  3, 1993 (age 30)	Active	2010 – Present							$26,613	Global Offensive
Pavle Stojanovski		North Macedonia	April  9, 2000 (age 23)	Active	2018 – Present			Rifler				$29,049	Global Offensive
Zoran Markovski		North Macedonia	April 29, 2003 (age 20)	Active	2021 – Present			Rifler	IKLA			$9,591	Global Offensive
Kristian Kornbakk		Norway	June  4, 1992 (age 31)	Active	2015 – Present				Bitfix Gaming			$18,661	Global Offensive
Anders Kjær		Norway	May 31, 1992 (age 31)	Active	2010 – 2019			In-game leader	Apeks			$11,703	Global Offensive
Aurora Lyngdal		Norway	April 26, 1996 (age 27)	Active	2005 – Present			entry fragger	Astralis Female			$4,259	Global Offensive
Henrik Becker		Norway		Inactive	2015 – 2018							$4,682	Global Offensive
Bjørnar Fauske Røn		Norway	December  3, 2001 (age 21)	Active	2018 – 2021, 2022 – Present			Rifler	Wizard esports		BFR	$4,554	Global Offensive
Jørgen Robertsen		Norway	May 31, 1995 (age 28)	Active	2013 – 2020, 2022 – Present			Rifler				$61,300	Global Offensive
Mikal Aakvik Øiestad		Norway		Active	2015 – 2018, 2020 – Present							$3,030	Global Offensive
Snorre Granerud		Norway	January 10, 1996 (age 27)	Active	2015 – 2021	2021 – Present		Coach				$4,319	Global Offensive
Sander Nordeide Iversen		Norway	October 10, 1997 (age 26)	Active	2018 – Present			Rifler			Grusarn	$21,809	Global Offensive
Haris Hadžić		Norway	March 22, 1997 (age 26)	Active	2017 – Present			entry fragger	Metizport X		harre, harredaking	$25,974	Global Offensive
Håkon Fjærli		Norway	July 14, 2000 (age 23)	Active	2016 – Present			AWPer	Complexity Gaming		hzk	$75,939	Global Offensive
Christoffer Andersen		Norway	November 11, 1998 (age 24)	Active	2016 – Present			Rifler			organner, hEscobar, Exiqe	$4,570	Global Offensive
Jesper Kamsrud		Norway	January  6, 1998 (age 25)	Active	2017 – Present			In-game leader				$7,423	Global Offensive
Joakim Myrbostad		Norway	February 27, 1994 (age 29)	Active	2013 – Present			entry fragger	Apeks			$230,688	Global Offensive
Karl-William Haraldsen		Norway	October 15, 1991 (age 31)	Active	2009 – Present							$35,695	Global Offensive
Kristian Hokland		Norway	July 15, 1992 (age 31)	Active	2010 - Present			Rifler				$11,834	Global Offensive
Eskil Bjørnsen		Norway	July 26, 2000 (age 23)	Active	2018 – Present			Rifler	Metizport X			$6,146	Global Offensive
Ole Kristian Langan		Norway		Active	2017 – Present			AWPer				$22,355	Global Offensive
Mikael Gaup		Norway	December 19, 1998 (age 24)	Active	2017 – Present			AWPer				$12,054	Global Offensive
Tony Nilsen		Norway	March 24, 1994 (age 29)	Active	2015 – Present							$1,304	Global Offensive
Philip Løseth		Norway	July 15, 1996 (age 27)	Active	2015 – 2019	2021 – Present		Coach	Bitfix Gaming			$1,344	Global Offensive
Pål Kammen		Norway	March  7, 1991 (age 32)	Active	2011 – 2019, 2020	2019 – Present		Coach	Preasy Esport			$11,819	Global Offensive
Haakon Bauer-Nilsen Tholo		Norway		Active	2016 – 2021, 2022 – Present			Rifler			radifactioN	$17,800	Global Offensive
Raymond Nielsen		Norway		Inactive	2009 – 2010, 2015 – 2020, 						RashiE, RASHIIIE	$20,012	Global Offensive
Ådne Fredriksen		Norway	September 30, 2003 (age 20)	Active	2018 – Present			In-game leader	Apeks			$7,561	Global Offensive
Tobias Sæther		Norway	August  4, 1999 (age 24)	Active	2016 – Present			AWPer	ex-Coalesce			$9,358	Global Offensive
Steffen Amundsen		Norway	February 18, 2002 (age 21)	Active	2019 – Present			Rifler	Pompa Team		Sly, sly	$10,227	Global Offensive
Preben Martinsen		Norway	August  9, 2001 (age 22)	Active	2019 – Present			In-game leader				$4,152	Global Offensive
Erik Hansen Dyrnes		Norway	November 25, 1996 (age 26)	Active	2015 – Present			Rifler				$22,298	Global Offensive
Halvor Gulestøl		Norway	May  1, 1989 (age 34)	Active	2007 – 2009, 2013 – 2014, 2016	2020 – 2021, 2022 – Present	2020 2022					$4,354	Global Offensive
Jonathan Nyhagen		Norway		Active	2018 – Present			Rifler				$2,385	Global Offensive
Morten Vollan Christensen		Norway	April 17, 1991 (age 32)	Active	2010 – 2017, 2022 – 2023, 	2017 – 2018, 2020 – 2023, 			Metizport			$7,612	Global Offensive
Jon Erik Øygarden		Norway	November  6, 1995 (age 27)	Active	2015 – Present			Rifler	Wizard esports			$11,345	Global Offensive
Daniel Jensen		Norway	July 27, 2000 (age 23)	Active	2017 – Present			lurker	Wizard esports			$7,276	Global Offensive
Adrian Chyziak		Poland	December 16, 1998 (age 24)	Active	2017 – 2020	2021 – Present		Coach	NAVI Javelins		Alcezd		Global Offensive
Angelika Kozłowska		Poland	October 27, 2001 (age 21)	Active	2018 – Present			Rifler	NAVI Javelins			$17,506	Global Offensive
Mateusz Niewiatowski		Poland	July 30, 2003 (age 20)	Active	2020 – Present			Rifler				$4,055	Global Offensive
Łukasz Kałkowski		Poland	October 25, 1997 (age 25)	Active	2017 – Present			AWPer				$12,966	Global Offensive
Maciej Biliński		Poland	February 15, 2002 (age 21)	Active	2018 – Present			Rifler	Turów Zgorzelec Esport		Bielany	$10,969	Global Offensive
Wojciech Strzelczyk		Poland	July 20, 2002 (age 21)	Active	2021 – Present				ThunderFlash			$6,366	Global Offensive
Bartosz Mikołajewicz		Poland	September 14, 1993 (age 30)	Active	2018 – Present			AWPer				$4,055	Global Offensive
Piotr Kasiński		Poland	August 13, 2001 (age 22)	Active	2020 – Present			lurker				$4,557	Global Offensive
Bartosz Niebisz		Poland	April 17, 2000 (age 23)	Active	2017 – Present			Rifler	Pompa Team			$19,608	Counter-Strike
Jędrzej Rokita		Poland	November  4, 1997 (age 25)	Active		2019 – Present			GamerLegion				Global Offensive
Paweł Mateusz Bieliński		Poland	April 30, 1994 (age 29)	Active	2013 – Present						byalko	$584,493	Global Offensive
Mariusz Jarząb		Poland	November  4, 1999 (age 23)	Active	2020 – Present			Rifler			skrzynka, SKRZYNKA	$13,907	Global Offensive
Szymon Pluta		Poland	January 31, 2002 (age 21)	Active	2017 – Present			AWPer				$11,532	Global Offensive
Danuta Grajkowska		Poland	May  9, 1996 (age 27)	Active	2016 – Present			lurker				$11,895	Global Offensive
Wojciech Klęba		Poland	August 27, 1999 (age 24)	Active	2018 – Present			In-game leader			gwach, gwachQar	$20,689	Global Offensive
Kacper Ściera		Poland	December 12, 1997 (age 25)	Active	2015 – Present			Rifler	Turów Zgorzelec Esport			$39,150	Global Offensive
Patryk Tomaszewski		Poland	February  7, 2001 (age 22)	Active	2018 – Present			lurker	ThunderFlash			$9,728	Global Offensive
Maciej Deorocki		Poland	November  7, 1997 (age 25)	Active	2016 – Present						NotDestroy	$5,369	Global Offensive
Paweł Dycha		Poland	August 11, 1997 (age 26)	Active	2017 – Present			Rifler	ENCE			$316,452	Global Offensive
Karol Lasota		Poland	January 14, 1998 (age 25)	Active	2017 – Present				Permitta Esports			$26,566	Global Offensive
Mateusz Witman		Poland	October 25, 2004 (age 18)	Active	2020 – Present			Rifler	ThunderFlash			$6,648	Global Offensive
Konrad Jeńczeń		Poland	October 18, 1997 (age 25)	Active	2014 – Present				Permitta Esports			$50,799	Global Offensive
Maciej Miklas		Poland	May 29, 2003 (age 20)	Active	2017 – Present			Rifler	OG			$109,298	Global Offensive
Alan Krupa		Poland	June 14, 2005 (age 18)	Active	2021 – Present			AWPer	LODIS			$4,779	Global Offensive
Sebastian Kuśmierz		Poland	April 27, 2002 (age 21)	Active	2018 – Present			AWPer	ThunderFlash			$12,689	Global Offensive
Tomasz Wolski		Poland	January  9, 1999 (age 24)	Active	2015 – 2018, 2019 – Present				LODIS			$3,535	Global Offensive
Bartek Długokęcki		Poland	January 18, 1995 (age 28)	Active	2015 – Present						fullspeedj, full	$5,472	Global Offensive
Damian Kisłowski		Poland	December 29, 1994 (age 28)	Active	2013 – Present			entry fragger				$273,402	Global Offensive
Gabriel Jaroszuk		Poland	April 29, 2000 (age 23)	Active	2015 – Present							$8,082	Global Offensive
Krzysztof Górski		Poland	August 29, 2000 (age 23)	Active	2017 – Present			Rifler	9INE			$81,310	Global Offensive
Dominik Świderski		Poland	February 28, 1995 (age 28)	Active	2014 – Present			support				$167,605	Global Offensive
Kacper Gruszeczka		Poland	May 17, 2001 (age 22)	Active	2018 – Present			Rifler	Turów Zgorzelec Esport			$10,678	Global Offensive
Aleksander Miskiewicz		Poland	January  1, 2000 (age 23)	Active	2018 – Present			AWPer	9INE			$139,512	Global Offensive
Hania Pudlis		Poland	March 26, 2004 (age 19)	Active	2018 – Present			Rifler	NAVI Javelins		Haniaa	$17,506	Global Offensive
Marcel Maziejuk		Poland	June  5, 2001 (age 22)	Active	2021 – Present			Rifler	Permitta Esports			$3,813	Global Offensive
Bartosz Wolny		Poland	January  1, 1990 (age 33)	Active	2012 – 2016, 2017 – 2018, 	2016 – 2017, 2018 – Present		Coach			Hyper Water Dog	$24,829	Global Offensive
Arkadiusz Dabkowski		Poland	August 13, 2000 (age 23)	Active	2018 – Present			Rifler	Raptors Esports Club			$3,512	Global Offensive
Adrian Pieper		Poland	September  5, 1996 (age 27)	Active	2014 – 2015	2017 – Present		Coach	Pompa Team		IMD, Ślepajstos	$220	Global Offensive
Paweł Mocek		Poland	December 20, 1993 (age 29)	Active	2011 – Present			entry fragger				$93,272	Global Offensive
Rafał Tync		Poland	July 27, 1999 (age 24)	Active	2018 – Present			Rifler			ISO	$13,469	Global Offensive
Grzegorz Jędras		Poland	November  3, 1998 (age 24)	Active	2016 – Present			entry fragger				$37,627	Global Offensive
Adrian Lis		Poland	March 16, 1998 (age 25)	Active	2019 – Present			Rifler	Turów Zgorzelec Esport			$7,153	Global Offensive
Kamil Pietkun		Poland	April  6, 2001 (age 22)	Active	2018 – Present			entry fragger	9INE			$62,122	Global Offensive
Kamil Mętel		Poland	June  9, 2002 (age 21)	Active	2021 – Present			In-game leader	ThunderFlash			$6,478	Global Offensive
Szymon Mrozek		Poland	April  2, 2003 (age 20)	Active	2019 – Present			Rifler	Monte			$88,895	Global Offensive
Jakub Gurczyński		Poland	July 12, 1988 (age 35)	Active	2004 – 2013	2015 – Present		Coach				$127,837	Global Offensive
Kuba Kubiak		Poland	October  3, 1992 (age 31)	Active	2014 – 2016	2015 – Present						$303	Global Offensive
